2026-07-16 11:47:47,062 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x6', 'ex_datars1_i': '0x83', 'ex_datars2_i': '0xc6'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0xc7'}}
2026-07-16 11:47:47,063 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x1', 'ex_datars1_i': '0x7d', 'ex_datars2_i': '0x6d'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x10'}}
2026-07-16 11:47:47,063 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xe', 'ex_datars1_i': '0x5c', 'ex_datars2_i': '0x94'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-07-16 11:47:47,064 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xb', 'ex_datars1_i': '0x27', 'ex_datars2_i': '0x69'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-07-16 11:47:47,064 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x4', 'ex_datars1_i': '0xa2', 'ex_datars2_i': '0x6a'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x22'}}
2026-07-16 11:47:47,064 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x3', 'ex_datars1_i': '0x3e', 'ex_datars2_i': '0x30'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x1'}}
2026-07-16 11:47:47,064 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x2', 'ex_datars1_i': '0x5c', 'ex_datars2_i': '0x55'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x1e8c'}}
2026-07-16 11:47:47,065 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x2', 'ex_datars1_i': '0x1e', 'ex_datars2_i': '0x53'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x9ba'}}
2026-07-16 11:47:47,065 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xe', 'ex_datars1_i': '0x52', 'ex_datars2_i': '0x5e'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-07-16 11:47:47,066 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x3', 'ex_datars1_i': '0x41', 'ex_datars2_i': '0x81'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-07-16 11:47:47,066 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xe', 'ex_datars1_i': '0x1e', 'ex_datars2_i': '0x5a'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-07-16 11:47:47,066 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x5', 'ex_datars1_i': '0x63', 'ex_datars2_i': '0x17'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x74'}}
2026-07-16 11:47:47,067 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x4', 'ex_datars1_i': '0xb6', 'ex_datars2_i': '0x60'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x20'}}
